Year,Day,Race Name,Position,Horse,Jockey,Trainer,SP Fractional
2025,Champion Day,Sky Bet Supreme Novices' Hurdle,1,Kopek Des Bordes,Paul Townend,Willie Mullins,4/6f
2025,Champion Day,Sky Bet Supreme Novices' Hurdle,2,William Munny,Sean Flanagan,Noel Meade,8/1
2025,Champion Day,Sky Bet Supreme Novices' Hurdle,3,Romeo Coolio,Jack Kennedy,Gordon Elliott,9/2
2025,Champion Day,Arkle Novices' Chase,1,Jango Baie,Nico de Boinville,Nicky Henderson,5/1
2025,Champion Day,Arkle Novices' Chase,2,Only By Night,Keith Donoghue,Gavin Cromwell,25/1
2025,Champion Day,Arkle Novices' Chase,3,Majborough,Mark Walsh,Willie Mullins,1/2f
2025,Champion Day,Ultima Handicap Chase,1,Myretown,Patrick Wadge,Lucinda Russell,13/2f
2025,Champion Day,Ultima Handicap Chase,2,The Changing Man,Beau Morgan,Joe Tizzard,7/1
2025,Champion Day,Ultima Handicap Chase,3,Malina Girl,Keith Donoghue,Gavin Cromwell,14/1
2025,Champion Day,Close Brothers Mares' Hurdle,1,Lossiemouth,Paul Townend,Willie Mullins,4/6f
2025,Champion Day,Close Brothers Mares' Hurdle,2,Jade De Grugy,Danny Mullins,Willie Mullins,5/1
2025,Champion Day,Close Brothers Mares' Hurdle,3,Take No Chances,Harry Skelton,Dan Skelton,22/1
2025,Champion Day,Unibet Champion Hurdle,1,Golden Ace,Lorcan Williams,Jeremy Scott,25/1
2025,Champion Day,Unibet Champion Hurdle,2,Burdett Road,Sam Twiston-Davies,James Owen,66/1
2025,Champion Day,Unibet Champion Hurdle,3,Winter Fog,Brian Hayes,Willie Mullins,150/1
2025,Champion Day,Hallgarten & Novum Wines Juvenile Handicap Hurdle,1,Puturhandstogether,Mark Walsh,Joseph Patrick O'Brien,17/2
2025,Champion Day,Hallgarten & Novum Wines Juvenile Handicap Hurdle,2,Robbies Rock,Conor Stone-Walsh,Gavin Cromwell,50/1
2025,Champion Day,Hallgarten & Novum Wines Juvenile Handicap Hurdle,3,Liam Swagger,Sam Twiston-Davies,James Owen,12/1
2025,Champion Day,National Hunt Chase,1,Haiti Couleurs,Ben Jones,Rebecca Curtis,7/2jf
2025,Champion Day,National Hunt Chase,2,Rock My Way,Brendan Powell,Joe Tizzard,16/1
2025,Champion Day,National Hunt Chase,3,Will Do,Jack Kennedy,Gordon Elliott,12/1
2025,Thu,Air Of Entitlement Mares' Novices' Hurdle,1,Air Of Entitlement,Rachael Blackmore,Henry de Bromhead,16/1
2025,Thu,Air Of Entitlement Mares' Novices' Hurdle,2,Sixandahalf,Keith Donoghue,Gavin Cromwell,85/40f
2025,Thu,Air Of Entitlement Mares' Novices' Hurdle,3,Diva Luna,Ben Jones,Ben Pauling,12/1
2025,Thu,Jack Richards Novices' Chase,1,Caldwell Potter,Harry Cobden,Paul Nicholls,7/1
2025,Thu,Jack Richards Novices' Chase,2,Anyway,Darragh O'Keeffe,David Kenneth Budd,125/1
2025,Thu,Jack Richards Novices' Chase,3,O'Moore Park,Sean O'Keeffe,Willie Mullins,66/1
2025,Thu,Pertemps Final Handicap Hurdle,1,Doddiethegreat,Brian Hughes,Nicky Henderson,25/1
2025,Thu,Pertemps Final Handicap Hurdle,2,Jeriko Du Reponet,Nico de Boinville,Nicky Henderson,11/2f
2025,Thu,Pertemps Final Handicap Hurdle,3,Catch Him Derry,Harry Skelton,Dan Skelton,14/1
2025,Thu,Ryanair Chase,1,Fact To File,Mark Walsh,Willie Mullins,6/4f
2025,Thu,Ryanair Chase,2,Heart Wood,Darragh O'Keeffe,Henry de Bromhead,18/1
2025,Thu,Ryanair Chase,3,Envoi Allen,Rachael Blackmore,Henry de Bromhead,12/1
2025,Thu,Stayers' Hurdle,1,Bob Olinger,Rachael Blackmore,Henry de Bromhead,8/1
2025,Thu,Stayers' Hurdle,2,Teahupoo,Jack Kennedy,Gordon Elliott,7/4f
2025,Thu,Stayers' Hurdle,3,The Wallpark,Mark Walsh,Willie Mullins,7/1
2025,Thu,Festival Plate Handicap Chase,1,Jagwar,Jonjo O'Neill Jr,Oliver Greenall & Josh Guerriero,3/1f
2025,Thu,Festival Plate Handicap Chase,2,Thecompanysergeant,Conor Stone-Walsh,Gavin Cromwell,4/1
2025,Thu,Festival Plate Handicap Chase,3,Masaccio,Tom Cannon,Alan King,11/1
2025,Thu,Kim Muir Challenge Cup,1,Daily Present,Barry Stone,Paul Nolan,12/1
2025,Thu,Kim Muir Challenge Cup,2,Johnnywho,Derek O'Connor,Jonjo & A J O'Neill,9/2f
2025,Thu,Kim Muir Challenge Cup,3,Sa Majeste,Patrick Mullins,Willie Mullins,8/1
2025,Fri,Triumph Hurdle,1,Poniros,Jonjo O'Neill Jr,Willie Mullins,100/1
2025,Fri,Triumph Hurdle,2,Lulamba,Nico de Boinville,,11/4
2025,Fri,Triumph Hurdle,3,East India Dock,Sam Twiston-Davies,,5/4
2025,Fri,County Handicap Hurdle,1,Kargese,Paul Townend,Willie Mullins,3/1
